url,state,climdiv,CT,MA,ME,NH,NY,RI,VT,fips_code,name,startofoperation_x,endofoperation_x,Julianstartofoperation,Julianendofoperation,latitude,longitude,elev,sids1,location,startofoperation_y,Syear,SjulDate,endofoperation_y,Eyear,EjulDate,yearALL,julALL,long
4301,CT,CT02,103.2,,,,,,,9003,HARTFORD BRAINARD FLD,1904-10-07,2007-03-01,1904281,2007060,41.73333,-72.65,20,94760 1,yes,1904-10-07,1904,12,2007-03-01,2007,212,103,200,103.2
36224,CT,,2.119,,,,,,,9015,STAFFORD SPRINGS NEAR,1932-11-08,1934-08-22,1932313,1934234,41.95,-72.2,1025,067949 2,yes,1932-11-08,1932,1,1934-08-22,1934,120,2,119,2.119
36228,CT,,9.268,,,,,,,9005,TORRINGTON (1),1915-07-01,1924-09-29,1915182,1924273,41.8,-73.11667,625,068438 2,yes,1915-07-01,1915,5,1924-09-29,1924,273,9,268,9.268
67835,CT,,1.209,,,,,,,9013,STORRS NEPP,2009-11-24,2010-12-07,2009328,2010341,41.795,-72.22861,665,SRRC3 7,yes,2009-11-24,2009,3,2010-12-07,2010,212,1,209,1.209
4305,CT,CT01,14.153,,,,,,,9005,THOMASTON DAM,2000-01-01,2014-07-31,2000001,2014212,41.69306,-73.06,538,068330 2,yes,2000-01-01,2000,11,2014-07-31,2014,164,14,153,14.153
4306,CT,CT01,54.264,,,,,,,9005,SHEPAUG DAM,1949-03-01,2003-01-31,1949060,2003031,41.71667,-73.3,840,067373 2,yes,1949-03-01,1949,3,2003-01-31,2003,267,54,264,54.264
4307,CT,CT01,3.211,,,,,,,9005,WARREN,1946-12-01,1949-01-31,1946335,1949031,41.73333,-73.33333,1020,068835 2,yes,1946-12-01,1946,1,1949-01-31,1949,212,3,211,3.211
4308,CT,CT01,7.194,,,,,,,9005,KENT,1950-12-01,1957-01-31,1950335,1957031,41.73333,-73.48333,381,063905 2,yes,1950-12-01,1950,18,1957-01-31,1957,212,7,194,7.194
4312,CT,CT02,11.326,,,,,,,9015,BROOKLYN,1970-05-10,1981-01-21,1970130,1981021,41.78333,-71.95,240,060918 2,yes,1970-05-10,1970,8,1981-01-21,1981,334,11,326,11.326
4313,CT,CT02,55.237,,,,,,,9013,MANSFIELD HOLLOW LAK,1952-05-05,2007-05-10,1952126,2007130,41.75694,-72.18556,250,064488 2,yes,1952-05-05,1952,6,2007-05-10,2007,243,55,237,55.237
4317,CT,CT02,11.276,,,,,,,9003,HARTFORD,1893-02-01,1904-12-31,1893032,1904366,41.76667,-72.7,141,063446 2,yes,1893-02-01,1893,1,1904-12-31,1904,277,11,276,11.276
4319,CT,CT02,5.333,,,,,,,9003,WEST HARTFORD,2009-12-20,2014-07-31,2009354,2014212,41.75,-72.78333,275,069162 2,yes,2009-12-20,2009,1,2014-07-31,2014,334,5,333,5.333
4322,CT,CT01,1.202,,,,,,,9005,NORTH KENT,1949-02-01,1950-11-30,1949032,1950334,41.76667,-73.43333,459,065664 2,yes,1949-02-01,1949,10,1950-11-30,1950,212,1,202,1.202
4325,CT,CT02,36.117,,,,,,,9013,COVENTRY,1957-04-18,1993-09-30,1957108,1993273,41.8,-72.35,480,061689 2,yes,1957-04-18,1957,126,1993-09-30,1993,243,36,117,36.117
4330,CT,CT02,75.263,,,,,,,9003,COLLINSVILLE 1 S,1885-02-09,1960-02-29,1885040,1960060,41.8,-72.93333,279,061536 2,yes,1885-02-09,1885,10,1960-02-29,1960,273,75,263,75.263
4331,CT,CT02,53.175,,,,,,,9003,BURLINGTON,1961-07-01,2014-07-29,1961182,2014210,41.79444,-72.93194,505,060973 2,yes,1961-07-01,1961,6,2014-07-29,2014,181,53,175,53.175
4332,CT,CT01,24.224,,,,,,,9005,BAKERSVILLE,1990-08-01,2014-07-31,1990213,2014212,41.84167,-73.00861,686,060227 2,yes,1990-08-01,1990,3,2014-07-31,2014,227,24,224,24.224
4336,CT,CT01,1.204,,,,,,,9005,MOHAWK RS,1949-10-01,1950-06-30,1949274,1950181,41.83333,-73.3,1440,064933 2,yes,1949-10-01,1949,8,1950-06-30,1950,212,1,204,1.204
4341,CT,CT02,28.203,,,,,,,9015,PUTNAM,1934-09-01,1962-11-30,1934244,1962334,41.91667,-71.91667,300,066645 2,yes,1934-09-01,1934,10,1962-11-30,1962,213,28,203,28.203
4343,CT,CT02,3.21,,,,,,,9015,EASTFORD,1964-08-01,1967-02-28,1964214,1967059,41.9,-72.08333,541,065125 2,yes,1964-08-01,1964,1,1967-02-28,1967,211,3,210,3.21
4345,CT,CT01,14.241,,,,,,,9005,BARKHAMSTED,2000-01-03,2014-07-29,2000003,2014210,41.92139,-72.96389,705,060299 2,yes,2000-01-03,2000,3,2014-07-29,2014,244,14,241,14.241
4347,CT,CT01,76.112,,,,,,,9005,CREAM HILL,1896-06-01,1972-11-30,1896153,1972335,41.9,-73.31667,1302,061715 2,yes,1896-06-01,1896,324,1972-11-30,1972,212,76,112,76.112
4348,CT,CT01,3.179,,,,,,,9005,HAUTBOY HILL FARM,1974-02-01,1977-05-31,1974032,1977151,41.9,-73.28333,981,063495 2,yes,1974-02-01,1974,2,1977-05-31,1977,181,3,179,3.179
4350,CT,CT02,29.151,,,,,,,9013,STAFFORD SPRINGS 2,1977-04-01,2006-10-10,1977091,2006283,41.95,-72.3,455,067959 2,yes,1977-04-01,1977,1,2006-10-10,2006,152,29,151,29.151
4355,CT,CT01,130.204,,,,,,,9005,NORFOLK 2 SW,1884-11-01,2014-07-31,1884306,2014212,41.9725,-73.22083,1340,065445 2,yes,1884-11-01,1884,7,2014-07-31,2014,211,130,204,130.204
4356,CT,CT01,33.135,,,,,,,9005,SALISBURY,1933-12-01,1966-03-30,1933335,1966089,41.98333,-73.45,1079,067109 2,yes,1933-12-01,1933,310,1966-03-30,1966,175,33,135,33.135
4363,CT,CT02,2.135,,,,,,,9013,NORTH SOMERS,1992-05-01,1994-03-31,1992122,1994090,42.03333,-72.43333,280,065757 2,yes,1992-05-01,1992,,1994-03-31,1994,135,2,135,2.135
29195,CT,CT01,14.168,,,,,,,9005,COLEBROOK RIVER LAKE,2000-01-04,2014-02-28,2000004,2014059,42.00028,-73.04389,799,061508 2,yes,2000-01-04,2000,43,2014-02-28,2014,211,14,168,14.168
29569,CT,CT02,65.169,,,,,,,9003,HARTFORD BRADLEY INTL AP,1949-01-01,2014-07-30,1949001,2014211,41.93806,-72.6825,190,14721 1,yes,1949-01-01,1949,43,2014-07-30,2014,212,65,169,65.169
30969,CT,CT01,0.234,,,,,,,9005,FALLS VILLAGE 1,1920-04-01,1920-04-30,1920092,1920121,41.93333,-73.31667,940,062655 2,yes,1920-04-01,1920,9,1920-04-30,1920,243,0,234,0.234
33214,CT,CT02,11.235,,,,,,,9015,HAMPTON,2003-12-17,2014-07-31,2003351,2014212,41.7675,-72.05306,490,063420 2,yes,2003-12-17,2003,1,2014-07-31,2014,236,11,235,11.235
33494,CT,CT02,12.218,,,,,,,9013,STAFFORDVILLE,2002-08-01,2014-07-31,2002213,2014212,41.99833,-72.26056,736,067958 2,yes,2002-08-01,2002,2,2014-07-31,2014,220,12,218,12.218
33807,CT,CT03,7.203,,,,,,,9001,BRIDGEPORT-SUCCESS HILL,2007-10-24,2014-07-31,2007297,2014212,41.12,-73.08,75,060808 2,yes,2007-10-24,2007,9,2014-07-31,2014,212,7,203,7.203
60,MA,MA03,,18.18,,,,,,25001,CHATHAM MUNI AP,1996-07-01,2014-07-30,1996183,2014211,41.6875,-69.99333,68,94624 1,yes,1996-07-01,1996,1,2014-07-30,2014,181,18,180,18.18
61,MA,MA01,,27.144,,,,,,25003,NORTH ADAMS HARRIMAN AP,1987-10-01,2014-07-30,1987274,2014211,42.7,-73.16667,655,54768 1,yes,1987-10-01,1987,7,2014-07-30,2014,151,27,144,27.144
62,MA,,,18.261,,,,,,25011,ORANGE MUNI AP,1996-07-01,2014-07-30,1996183,2014211,42.57,-72.29111,555,54756 1,yes,1996-07-01,1996,12,2014-07-30,2014,273,18,261,18.261
8922,MA,,,4.323,,,,,,,NANTUCKET SHOALS AFS,1957-04-10,1961-11-05,1957100,1961309,41.01667,-69.5,89,14658 1,yes,1957-04-10,1957,11,1961-11-05,1961,334,4,323,4.323
8923,MA,MA03,,66.333,,,,,,25019,NANTUCKET MEM AP,1948-01-01,2014-07-30,1948001,2014211,41.25306,-70.06083,45,14756 1,yes,1948-01-01,1948,1,2014-07-30,2014,334,66,333,66.333
8927,MA,MA03,,68.242,,,,,,25007,EDGARTOWN,1946-03-01,2014-07-30,1946060,2014211,41.38528,-70.51806,30,192501 2,yes,1946-03-01,1946,2,2014-07-30,2014,244,68,242,68.242
8932,MA,,,16.21,,,,,,25007,VINEYARD HAVEN AP,1998-01-01,2014-07-30,1998001,2014211,41.39306,-70.615,68,94724 1,yes,1998-01-01,1998,1,2014-07-30,2014,211,16,210,16.21
8937,MA,MA03,,11.333,,,,,,25001,WOODS HOLE 2 NE,1964-06-01,1975-07-30,1964153,1975211,41.55,-70.65,40,199893 2,yes,1964-06-01,1964,1,1975-07-30,1975,334,11,333,11.333
8943,MA,MA03,,6.266,,,,,,25001,WEST FALMOUTH,1976-05-01,1982-12-31,1976122,1982365,41.6,-70.63333,10,199175 2,yes,1976-05-01,1976,7,1982-12-31,1982,273,6,266,6.266
8944,MA,MA03,,109.266,,,,,,25005,NEW BEDFORD,1893-01-01,2002-05-31,1893001,2002151,41.63333,-70.93333,70,195246 2,yes,1893-01-01,1893,7,2002-05-31,2002,273,109,266,109.266
8945,MA,,,5.26,,,,,,,GEORGES SHOALS AFS,1956-04-21,1961-11-06,1956112,1961310,41.68333,-67.78333,85,14657 1,yes,1956-04-21,1956,125,1961-11-06,1961,151,5,26,5.26
8946,MA,MA03,,42.326,,,,,,25001,CHATHAM WSMO,1972-08-01,2014-07-31,1972214,2014212,41.65694,-69.95889,40,14684 1,yes,1972-08-01,1972,8,2014-07-31,2014,334,42,326,42.326
8947,MA,,,16.3,,,,,,25001,HYANNIS BARNSTABLE MUNI AP,1998-01-01,2014-07-30,1998001,2014211,41.66861,-70.28,55,94720 1,yes,1998-01-01,1998,1,2014-07-30,2014,31,16,30,16.3
8949,MA,MA03,,121.211,,,,,,25001,HYANNIS,1893-01-01,2014-06-30,1893001,2014181,41.665,-70.30389,50,193821 2,yes,1893-01-01,1893,1,2014-06-30,2014,212,121,211,121.211
8950,MA,,,21.241,,,,,,25001,FALMOUTH OTIS AFB,1949-01-01,1970-12-31,1949001,1970365,41.65,-70.51667,130,14704 1,yes,1949-01-01,1949,2,1970-12-31,1970,243,21,241,21.241
8951,MA,MA03,,18.353,,,,,,25005,NEW BEDFORD MUNI AP,1996-07-01,2014-07-30,1996183,2014211,41.67639,-70.95833,80,94726 1,yes,1996-07-01,1996,1,2014-07-30,2014,354,18,353,18.353
8952,MA,MA03,,28.36,,,,,,25001,CHATHAM LT STN,1943-03-01,1971-12-31,1943060,1971365,41.66667,-69.95,38,14618 1,yes,1943-03-01,1943,5,1971-12-31,1971,365,28,360,28.36
8954,MA,MA03,,0.231,,,,,,25005,SOMERSET,1976-05-01,1976-05-31,1976122,1976152,41.73333,-71.16667,79,197470 2,yes,1976-05-01,1976,12,1976-05-31,1976,243,0,231,0.231
8955,MA,MA03,,83.119,,,,,,25005,FALL RIVER,1893-01-01,1976-04-18,1893001,1976109,41.71667,-71.13333,190,192642 2,yes,1893-01-01,1893,1,1976-04-18,1976,120,83,119,83.119
8956,MA,MA03,,23.266,,,,,,25001,SANDWICH,1945-04-01,1968-09-30,1945091,1968274,41.76667,-70.5,20,197190 2,yes,1945-04-01,1945,7,1968-09-30,1968,273,23,266,23.266
8958,MA,MA03,,102.3,,,,,,25023,EAST WAREHAM,1912-04-26,2014-06-30,1912117,2014181,41.76528,-70.66972,30,192451 2,yes,1912-04-26,1912,4,2014-06-30,2014,304,102,300,102.3
8959,MA,MA03,,114.123,,,,,,25023,ROCHESTER,1900-01-01,2014-07-31,1900001,2014212,41.785,-70.9175,65,196938 2,yes,1900-01-01,1900,12,2014-07-31,2014,135,114,123,114.123
8961,MA,MA03,,5.177,,,,,,25005,SEGREGANSET,1972-01-03,1977-01-31,1972003,1977031,41.83333,-71.11667,39,197293 2,yes,1972-01-03,1972,4,1977-01-31,1977,181,5,177,5.177
8962,MA,MA03,,47.243,,,,,,25023,SOUTH CARVER,1911-05-01,1958-07-31,1911121,1958212,41.86667,-70.71667,102,197643 2,yes,1911-05-01,1911,1,1958-07-31,1958,244,47,243,47.243
8963,MA,MA03,,121.364,,,,,,25023,MIDDLEBORO,1893-01-01,2014-07-31,1893001,2014212,41.88194,-70.90861,52,194711 2,yes,1893-01-01,1893,1,2014-07-31,2014,365,121,364,121.364
8964,MA,MA03,,14.207,,,,,,25001,SOUTH WELLFLEET,1963-07-02,1977-12-29,1963183,1977363,41.9,-69.98333,49,191147 2,yes,1963-07-02,1963,5,1977-12-29,1977,212,14,207,14.207
8966,MA,MA03,,114.172,,,,,,25005,TAUNTON,1893-01-01,2007-09-30,1893001,2007273,41.90028,-71.06583,20,198367 2,yes,1893-01-01,1893,10,2007-09-30,2007,182,114,172,114.172
8967,MA,MA03,,109.25,,,,,,25023,PLYMOUTH-KINGSTON,1905-11-01,2014-06-30,1905305,2014181,41.98194,-70.69611,45,196486 2,yes,1905-11-01,1905,6,2014-06-30,2014,31,109,25,109.25
8968,MA,MA03,,11.364,,,,,,25023,BRIDGEWATER,2003-09-04,2014-07-31,2003247,2014212,41.95389,-70.95722,40,198101 2,yes,2003-09-04,2003,1,2014-07-31,2014,365,11,364,11.364
8969,MA,MA03,,101.148,,,,,,25005,NORTON,1913-04-16,2014-07-30,1913106,2014211,41.99278,-71.16667,95,195984 2,yes,1913-04-16,1913,3,2014-07-30,2014,151,101,148,101.148
8971,MA,MA03,,31.183,,,,,,25023,HALIFAX,1912-04-15,1943-10-15,1912106,1943288,42.01667,-70.88333,89,193304 2,yes,1912-04-15,1912,28,1943-10-15,1943,211,31,183,31.183
8973,MA,MA03,,67.211,,,,,,25001,NORTH TRURO,1887-11-27,1954-08-30,1887331,1954242,42.03333,-70.05,138,94730 1,yes,1887-11-27,1887,1,1954-08-30,1954,212,67,211,67.211
8974,MA,MA03,,65.115,,,,,,25001,PROVINCETOWN 3 NW,1893-01-01,1958-04-30,1893001,1958120,42.08333,-70.21667,39,196676 2,yes,1893-01-01,1893,5,1958-04-30,1958,120,65,115,65.115
8975,MA,MA03,,34.267,,,,,,25001,PROVINCETOWN,1958-05-01,1992-09-28,1958121,1992272,42.05,-70.18333,20,196681 2,yes,1958-05-01,1958,6,1992-09-28,1992,273,34,267,34.267
8976,MA,MA03,,120.327,,,,,,25023,BROCKTON,1894-01-01,2014-07-30,1894001,2014211,42.04778,-71.005,80,190860 2,yes,1894-01-01,1894,6,2014-07-30,2014,333,120,327,120.327
8977,MA,MA02,,37.356,,,,,,25005,MANSFIELD,1893-07-17,1930-02-28,1893198,1930059,42.05,-71.2,141,194449 2,yes,1893-07-17,1893,10,1930-02-28,1930,366,37,356,37.356
8981,MA,MA02,,45.329,,,,,,25027,SOUTHBRIDGE 3 SW,1966-11-30,2011-09-29,1966334,2011272,42.05833,-72.07222,685,197627 2,yes,1966-11-30,1966,5,2011-09-29,2011,334,45,329,45.329
8983,MA,MA01,,4.271,,,,,,25013,WEST GRANVILLE,1964-05-01,1968-10-31,1964122,1968305,42.08333,-72.93333,1332,199219 2,yes,1964-05-01,1964,1,1968-10-31,1968,272,4,271,4.271
8987,MA,MA02,,8.87,,,,,,25021,WALPOLE 1 SSE,1951-07-01,1959-04-30,1951182,1959120,42.13333,-71.25,200,198760 2,yes,1951-07-01,1951,3,1959-04-30,1959,90,8,87,8.87
8988,MA,MA02,,48.42,,,,,,25021,WEST MEDWAY,1957-01-01,2005-01-11,1957001,2005011,42.13333,-71.43333,210,199316 2,yes,1957-01-01,1957,253,2005-01-11,2005,211,48,42,48.42
8992,MA,MA02,,55.111,,,,,,25027,BUFFUMVILLE LAKE,1959-05-01,2014-07-30,1959121,2014211,42.11639,-71.9075,525,190998 2,yes,1959-05-01,1959,323,2014-07-30,2014,212,55,111,55.111
8993,MA,MA02,,1.24,,,,,,25027,CHARLTON MASONIC HM,1957-03-01,1958-11-30,1957060,1958334,42.13333,-71.96667,981,191345 2,yes,1957-03-01,1957,3,1958-11-30,1958,243,1,240,1.24
8994,MA,MA02,,3.162,,,,,,25027,CHARLTON 2,1953-01-01,1956-11-30,1953001,1956335,42.13333,-71.95,679,191344 2,yes,1953-01-01,1953,343,1956-11-30,1956,181,3,162,3.162
8995,MA,MA02,,1.37,,,,,,25027,CHARLTON,1951-09-01,1952-09-30,1951244,1952274,42.13333,-71.96667,879,191343 2,yes,1951-09-01,1951,328,1952-09-30,1952,365,1,37,1.37
8996,MA,MA02,,52.362,,,,,,25027,EAST BRIMFIELD LAKE,1962-06-01,2014-07-31,1962152,2014212,42.11028,-72.12694,700,192107 2,yes,1962-06-01,1962,3,2014-07-31,2014,365,52,362,52.362
8998,MA,MA02,,91.333,,,,,,25013,SPRINGFIELD,1893-02-01,1984-01-31,1893032,1984031,42.1,-72.58333,190,198046 2,yes,1893-02-01,1893,1,1984-01-31,1984,334,91,333,91.333
8999,MA,MA02,,2.79,,,,,,25013,SPRINGFIELD NEWS BUI,1948-08-01,1950-01-31,1948214,1950031,42.1,-72.6,121,198051 2,yes,1948-08-01,1948,12,1950-01-31,1950,91,2,79,2.79
9000,MA,MA02,,51.3,,,,,,25013,WESTFIELD,1926-01-01,1977-07-31,1926001,1977212,42.13333,-72.75,120,199191 2,yes,1926-01-01,1926,4,1977-07-31,1977,304,51,300,51.3
9001,MA,MA01,,25.15,,,,,,25013,BORDEN BROOK RSVR,1969-05-08,1994-07-08,1969128,1994189,42.13333,-72.93333,1110,190759 2,yes,1969-05-08,1969,1,1994-07-08,1994,151,25,150,25.15
